trial_index,model,enrollment_speaker_id,enrollment_sample_token,enrollment_quality,verification_speaker_id,verification_sample_token,verification_quality,verification_language_type,trial_type,cosine_similarity,enrollment_latency_ms,verification_latency_ms,device
1,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_01.wav,standard_enrollment,SpeakerA,SpeakerA_verification_01_hq.wav,HQ,Standard,GENUINE,0.719382,734.164,39.057,cuda:0
2,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_01.wav,standard_enrollment,SpeakerA,SpeakerA_verification_02_hq.wav,HQ,Standard,GENUINE,0.723721,734.164,36.914,cuda:0
3,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_01.wav,standard_enrollment,SpeakerA,SpeakerA_verification_03_lq.wav,LQ,Standard,GENUINE,0.651354,734.164,40.233,cuda:0
4,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_01.wav,standard_enrollment,SpeakerA,SpeakerA_verification_04_n.wav,Noisy,Standard,GENUINE,0.464855,734.164,38.548,cuda:0
5,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_01.wav,standard_enrollment,SpeakerA,SpeakerA_verification_05_h.wav,Hindi,Hindi,GENUINE,0.310537,734.164,33.534,cuda:0
6,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_01.wav,standard_enrollment,SpeakerB,SpeakerB_verification_01_hq.wav,HQ,Standard,IMPOSTOR,0.219559,734.164,31.571,cuda:0
7,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_01.wav,standard_enrollment,SpeakerB,SpeakerB_verification_02_lq.wav,LQ,Standard,IMPOSTOR,0.097239,734.164,36.278,cuda:0
8,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_01.wav,standard_enrollment,SpeakerB,SpeakerB_verification_03_lq.wav,LQ,Standard,IMPOSTOR,0.114805,734.164,33.081,cuda:0
9,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_01.wav,standard_enrollment,SpeakerB,SpeakerB_verification_04_n.wav,Noisy,Standard,IMPOSTOR,0.089394,734.164,28.201,cuda:0
10,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_01.wav,standard_enrollment,SpeakerB,SpeakerB_verification_05_h.wav,Hindi,Hindi,IMPOSTOR,0.053418,734.164,29.805,cuda:0
11,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_02.wav,standard_enrollment,SpeakerA,SpeakerA_verification_01_hq.wav,HQ,Standard,GENUINE,0.696832,45.327,39.057,cuda:0
12,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_02.wav,standard_enrollment,SpeakerA,SpeakerA_verification_02_hq.wav,HQ,Standard,GENUINE,0.705068,45.327,36.914,cuda:0
13,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_02.wav,standard_enrollment,SpeakerA,SpeakerA_verification_03_lq.wav,LQ,Standard,GENUINE,0.582975,45.327,40.233,cuda:0
14,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_02.wav,standard_enrollment,SpeakerA,SpeakerA_verification_04_n.wav,Noisy,Standard,GENUINE,0.455111,45.327,38.548,cuda:0
15,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_02.wav,standard_enrollment,SpeakerA,SpeakerA_verification_05_h.wav,Hindi,Hindi,GENUINE,0.404463,45.327,33.534,cuda:0
16,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_02.wav,standard_enrollment,SpeakerB,SpeakerB_verification_01_hq.wav,HQ,Standard,IMPOSTOR,0.178425,45.327,31.571,cuda:0
17,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_02.wav,standard_enrollment,SpeakerB,SpeakerB_verification_02_lq.wav,LQ,Standard,IMPOSTOR,0.059474,45.327,36.278,cuda:0
18,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_02.wav,standard_enrollment,SpeakerB,SpeakerB_verification_03_lq.wav,LQ,Standard,IMPOSTOR,0.111515,45.327,33.081,cuda:0
19,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_02.wav,standard_enrollment,SpeakerB,SpeakerB_verification_04_n.wav,Noisy,Standard,IMPOSTOR,0.081117,45.327,28.201,cuda:0
20,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_02.wav,standard_enrollment,SpeakerB,SpeakerB_verification_05_h.wav,Hindi,Hindi,IMPOSTOR,0.12289,45.327,29.805,cuda:0
21,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_03.wav,standard_enrollment,SpeakerA,SpeakerA_verification_01_hq.wav,HQ,Standard,GENUINE,0.768642,38.015,39.057,cuda:0
22,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_03.wav,standard_enrollment,SpeakerA,SpeakerA_verification_02_hq.wav,HQ,Standard,GENUINE,0.827946,38.015,36.914,cuda:0
23,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_03.wav,standard_enrollment,SpeakerA,SpeakerA_verification_03_lq.wav,LQ,Standard,GENUINE,0.619803,38.015,40.233,cuda:0
24,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_03.wav,standard_enrollment,SpeakerA,SpeakerA_verification_04_n.wav,Noisy,Standard,GENUINE,0.483068,38.015,38.548,cuda:0
25,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_03.wav,standard_enrollment,SpeakerA,SpeakerA_verification_05_h.wav,Hindi,Hindi,GENUINE,0.456047,38.015,33.534,cuda:0
26,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_03.wav,standard_enrollment,SpeakerB,SpeakerB_verification_01_hq.wav,HQ,Standard,IMPOSTOR,0.223424,38.015,31.571,cuda:0
27,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_03.wav,standard_enrollment,SpeakerB,SpeakerB_verification_02_lq.wav,LQ,Standard,IMPOSTOR,0.129706,38.015,36.278,cuda:0
28,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_03.wav,standard_enrollment,SpeakerB,SpeakerB_verification_03_lq.wav,LQ,Standard,IMPOSTOR,0.16983,38.015,33.081,cuda:0
29,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_03.wav,standard_enrollment,SpeakerB,SpeakerB_verification_04_n.wav,Noisy,Standard,IMPOSTOR,0.156645,38.015,28.201,cuda:0
30,ECAPA-TDNN,SpeakerA,SpeakerA_enrollment_03.wav,standard_enrollment,SpeakerB,SpeakerB_verification_05_h.wav,Hindi,Hindi,IMPOSTOR,0.111294,38.015,29.805,cuda:0
31,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_01.wav,standard_enrollment,SpeakerA,SpeakerA_verification_01_hq.wav,HQ,Standard,IMPOSTOR,0.113029,41.618,39.057,cuda:0
32,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_01.wav,standard_enrollment,SpeakerA,SpeakerA_verification_02_hq.wav,HQ,Standard,IMPOSTOR,0.061191,41.618,36.914,cuda:0
33,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_01.wav,standard_enrollment,SpeakerA,SpeakerA_verification_03_lq.wav,LQ,Standard,IMPOSTOR,0.173273,41.618,40.233,cuda:0
34,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_01.wav,standard_enrollment,SpeakerA,SpeakerA_verification_04_n.wav,Noisy,Standard,IMPOSTOR,0.160519,41.618,38.548,cuda:0
35,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_01.wav,standard_enrollment,SpeakerA,SpeakerA_verification_05_h.wav,Hindi,Hindi,IMPOSTOR,0.021849,41.618,33.534,cuda:0
36,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_01.wav,standard_enrollment,SpeakerB,SpeakerB_verification_01_hq.wav,HQ,Standard,GENUINE,0.555476,41.618,31.571,cuda:0
37,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_01.wav,standard_enrollment,SpeakerB,SpeakerB_verification_02_lq.wav,LQ,Standard,GENUINE,1.0,41.618,36.278,cuda:0
38,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_01.wav,standard_enrollment,SpeakerB,SpeakerB_verification_03_lq.wav,LQ,Standard,GENUINE,0.749337,41.618,33.081,cuda:0
39,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_01.wav,standard_enrollment,SpeakerB,SpeakerB_verification_04_n.wav,Noisy,Standard,GENUINE,0.549433,41.618,28.201,cuda:0
40,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_01.wav,standard_enrollment,SpeakerB,SpeakerB_verification_05_h.wav,Hindi,Hindi,GENUINE,0.5037,41.618,29.805,cuda:0
41,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_02.wav,standard_enrollment,SpeakerA,SpeakerA_verification_01_hq.wav,HQ,Standard,IMPOSTOR,0.17239,50.173,39.057,cuda:0
42,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_02.wav,standard_enrollment,SpeakerA,SpeakerA_verification_02_hq.wav,HQ,Standard,IMPOSTOR,0.117581,50.173,36.914,cuda:0
43,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_02.wav,standard_enrollment,SpeakerA,SpeakerA_verification_03_lq.wav,LQ,Standard,IMPOSTOR,0.172124,50.173,40.233,cuda:0
44,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_02.wav,standard_enrollment,SpeakerA,SpeakerA_verification_04_n.wav,Noisy,Standard,IMPOSTOR,0.154381,50.173,38.548,cuda:0
45,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_02.wav,standard_enrollment,SpeakerA,SpeakerA_verification_05_h.wav,Hindi,Hindi,IMPOSTOR,0.048071,50.173,33.534,cuda:0
46,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_02.wav,standard_enrollment,SpeakerB,SpeakerB_verification_01_hq.wav,HQ,Standard,GENUINE,0.653217,50.173,31.571,cuda:0
47,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_02.wav,standard_enrollment,SpeakerB,SpeakerB_verification_02_lq.wav,LQ,Standard,GENUINE,0.749337,50.173,36.278,cuda:0
48,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_02.wav,standard_enrollment,SpeakerB,SpeakerB_verification_03_lq.wav,LQ,Standard,GENUINE,1.0,50.173,33.081,cuda:0
49,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_02.wav,standard_enrollment,SpeakerB,SpeakerB_verification_04_n.wav,Noisy,Standard,GENUINE,0.482152,50.173,28.201,cuda:0
50,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_02.wav,standard_enrollment,SpeakerB,SpeakerB_verification_05_h.wav,Hindi,Hindi,GENUINE,0.473154,50.173,29.805,cuda:0
51,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_03.wav,standard_enrollment,SpeakerA,SpeakerA_verification_01_hq.wav,HQ,Standard,IMPOSTOR,0.177105,88.654,39.057,cuda:0
52,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_03.wav,standard_enrollment,SpeakerA,SpeakerA_verification_02_hq.wav,HQ,Standard,IMPOSTOR,0.103007,88.654,36.914,cuda:0
53,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_03.wav,standard_enrollment,SpeakerA,SpeakerA_verification_03_lq.wav,LQ,Standard,IMPOSTOR,0.13994,88.654,40.233,cuda:0
54,ECAPA-TDNN,SpeakerB,SpeakerB_enrollment_03.wav,standard_enrollment,SpeakerA,SpeakerA_verification_04_n.wav,Noisy,Standard,IMPOSTOR,0.134816,88.654,38.548,cuda:0
