sample_index,file_id,filename,true_label,attack_id,speaker_id,shard_source,index_in_shard,selection_seed
1,LA_E_8210449,LA_E_8210449.flac,SPOOF,A17,LA_0013,test-00000-of-00009.parquet,4723,42
2,LA_E_7516832,LA_E_7516832.flac,SPOOF,A10,LA_0012,test-00000-of-00009.parquet,3049,42
3,LA_E_6666104,LA_E_6666104.flac,BONAFIDE,-,LA_0046,test-00000-of-00009.parquet,3015,42
4,LA_E_4244870,LA_E_4244870.flac,SPOOF,A18,LA_0008,test-00000-of-00009.parquet,2443,42
5,LA_E_9839765,LA_E_9839765.flac,SPOOF,A17,LA_0034,test-00000-of-00009.parquet,6203,42
6,LA_E_9897022,LA_E_9897022.flac,BONAFIDE,-,LA_0018,test-00000-of-00009.parquet,649,42
7,LA_E_3454842,LA_E_3454842.flac,BONAFIDE,-,LA_0034,test-00000-of-00009.parquet,853,42
8,LA_E_5118367,LA_E_5118367.flac,BONAFIDE,-,LA_0045,test-00000-of-00009.parquet,6075,42
9,LA_E_9440420,LA_E_9440420.flac,BONAFIDE,-,LA_0006,test-00000-of-00009.parquet,5880,42
10,LA_E_3091003,LA_E_3091003.flac,SPOOF,A09,LA_0029,test-00000-of-00009.parquet,1320,42
11,LA_E_4494506,LA_E_4494506.flac,BONAFIDE,-,LA_0029,test-00000-of-00009.parquet,402,42
12,LA_E_6764440,LA_E_6764440.flac,BONAFIDE,-,LA_0053,test-00000-of-00009.parquet,4233,42
13,LA_E_6758797,LA_E_6758797.flac,BONAFIDE,-,LA_0033,test-00000-of-00009.parquet,3771,42
14,LA_E_5591261,LA_E_5591261.flac,BONAFIDE,-,LA_0005,test-00000-of-00009.parquet,1904,42
15,LA_E_5613445,LA_E_5613445.flac,SPOOF,A15,LA_0011,test-00000-of-00009.parquet,3879,42
16,LA_E_9117626,LA_E_9117626.flac,SPOOF,A18,LA_0031,test-00000-of-00009.parquet,7896,42
17,LA_E_7890394,LA_E_7890394.flac,SPOOF,A12,LA_0030,test-00000-of-00009.parquet,6495,42
18,LA_E_6914317,LA_E_6914317.flac,SPOOF,A07,LA_0018,test-00000-of-00009.parquet,5805,42
19,LA_E_1596239,LA_E_1596239.flac,BONAFIDE,-,LA_0041,test-00000-of-00009.parquet,3407,42
20,LA_E_5050531,LA_E_5050531.flac,SPOOF,A14,LA_0009,test-00000-of-00009.parquet,1513,42
21,LA_E_3783078,LA_E_3783078.flac,BONAFIDE,-,LA_0014,test-00000-of-00009.parquet,468,42
22,LA_E_2362137,LA_E_2362137.flac,BONAFIDE,-,LA_0058,test-00000-of-00009.parquet,1053,42
23,LA_E_7001747,LA_E_7001747.flac,SPOOF,A10,LA_0043,test-00000-of-00009.parquet,5009,42
24,LA_E_6067961,LA_E_6067961.flac,BONAFIDE,-,LA_0009,test-00000-of-00009.parquet,2927,42
25,LA_E_8309979,LA_E_8309979.flac,BONAFIDE,-,LA_0067,test-00000-of-00009.parquet,1495,42
26,LA_E_3444316,LA_E_3444316.flac,BONAFIDE,-,LA_0061,test-00000-of-00009.parquet,5800,42
27,LA_E_6400593,LA_E_6400593.flac,SPOOF,A11,LA_0044,test-00000-of-00009.parquet,6667,42
28,LA_E_2929931,LA_E_2929931.flac,BONAFIDE,-,LA_0012,test-00000-of-00009.parquet,841,42
29,LA_E_1118214,LA_E_1118214.flac,SPOOF,A13,LA_0006,test-00000-of-00009.parquet,3365,42
30,LA_E_3819347,LA_E_3819347.flac,SPOOF,A14,LA_0007,test-00000-of-00009.parquet,1488,42
31,LA_E_8559895,LA_E_8559895.flac,SPOOF,A18,LA_0007,test-00000-of-00009.parquet,6260,42
32,LA_E_7072688,LA_E_7072688.flac,SPOOF,A08,LA_0040,test-00000-of-00009.parquet,4720,42
33,LA_E_6883827,LA_E_6883827.flac,SPOOF,A12,LA_0033,test-00000-of-00009.parquet,6481,42
34,LA_E_3142969,LA_E_3142969.flac,SPOOF,A10,LA_0001,test-00000-of-00009.parquet,950,42
35,LA_E_4379866,LA_E_4379866.flac,SPOOF,A13,LA_0042,test-00000-of-00009.parquet,6950,42
36,LA_E_6925972,LA_E_6925972.flac,BONAFIDE,-,LA_0016,test-00000-of-00009.parquet,3357,42
37,LA_E_4335942,LA_E_4335942.flac,BONAFIDE,-,LA_0004,test-00000-of-00009.parquet,1576,42
38,LA_E_5950324,LA_E_5950324.flac,SPOOF,A19,LA_0047,test-00000-of-00009.parquet,4860,42
39,LA_E_7388854,LA_E_7388854.flac,BONAFIDE,-,LA_0009,test-00000-of-00009.parquet,3282,42
40,LA_E_1612120,LA_E_1612120.flac,SPOOF,A08,LA_0006,test-00000-of-00009.parquet,3840,42
41,LA_E_2965455,LA_E_2965455.flac,SPOOF,A09,LA_0024,test-00000-of-00009.parquet,5165,42
42,LA_E_3105878,LA_E_3105878.flac,BONAFIDE,-,LA_0061,test-00000-of-00009.parquet,3371,42
43,LA_E_6679590,LA_E_6679590.flac,SPOOF,A17,LA_0041,test-00000-of-00009.parquet,2396,42
44,LA_E_6657753,LA_E_6657753.flac,SPOOF,A13,LA_0023,test-00000-of-00009.parquet,7013,42
45,LA_E_5704275,LA_E_5704275.flac,SPOOF,A13,LA_0004,test-00000-of-00009.parquet,7267,42
