trial_index,file_id,filename,true_label,attack_id,speaker_id,rawnet2_score,prob_bonafide,prob_spoof,predicted_label,inference_time_ms,device
1,LA_E_8210449,LA_E_8210449.flac,SPOOF,A17,LA_0013,-8.864828109741211,0.0001412713414073275,0.9998587569502351,SPOOF,32.50649999972666,cuda:0
2,LA_E_7516832,LA_E_7516832.flac,SPOOF,A10,LA_0012,-1.102030634880066,0.3321958298939535,0.6678041056990319,SPOOF,26.494899999306654,cuda:0
3,LA_E_6666104,LA_E_6666104.flac,BONAFIDE,-,LA_0046,-0.0012747265864163637,0.9987260855324056,0.0012738871362509238,BONAFIDE,31.797900001038215,cuda:0
4,LA_E_4244870,LA_E_4244870.flac,SPOOF,A18,LA_0008,-6.882396697998047,0.001025682844954903,0.9989743035550017,SPOOF,22.18420000099286,cuda:0
5,LA_E_9839765,LA_E_9839765.flac,SPOOF,A17,LA_0034,-7.987826347351074,0.00033957139200241267,0.9996604880359932,SPOOF,22.093999999924563,cuda:0
6,LA_E_9897022,LA_E_9897022.flac,BONAFIDE,-,LA_0018,-0.012225925922393799,0.9878485070637483,0.01215149446111537,BONAFIDE,23.786400000972208,cuda:0
7,LA_E_3454842,LA_E_3454842.flac,BONAFIDE,-,LA_0034,-5.751194477081299,0.003178981307446493,0.9968210509895069,SPOOF,28.20359999896027,cuda:0
8,LA_E_5118367,LA_E_5118367.flac,BONAFIDE,-,LA_0045,-2.4890177249908447,0.08299144697487809,0.9170085454254598,SPOOF,31.417700000019977,cuda:0
9,LA_E_9440420,LA_E_9440420.flac,BONAFIDE,-,LA_0006,-0.39122793078422546,0.6762260057483543,0.32377404814809035,BONAFIDE,29.310100000657258,cuda:0
10,LA_E_3091003,LA_E_3091003.flac,SPOOF,A09,LA_0029,-6.610944747924805,0.0013455603334011216,0.9986543905373626,SPOOF,27.31839999978547,cuda:0
11,LA_E_4494506,LA_E_4494506.flac,BONAFIDE,-,LA_0029,-0.18536394834518433,0.8308018598600361,0.16919815078314582,BONAFIDE,25.674900000012713,cuda:0
12,LA_E_6764440,LA_E_6764440.flac,BONAFIDE,-,LA_0053,-0.008008512668311596,0.9920234700343591,0.007976508598304195,BONAFIDE,30.958299999838346,cuda:0
13,LA_E_6758797,LA_E_6758797.flac,BONAFIDE,-,LA_0033,-0.9313743114471436,0.3940118431233923,0.6059881518345964,SPOOF,23.155199998655007,cuda:0
14,LA_E_5591261,LA_E_5591261.flac,BONAFIDE,-,LA_0005,-1.1413294076919556,0.3193941344355199,0.6806058556525745,SPOOF,31.973999999536318,cuda:0
15,LA_E_5613445,LA_E_5613445.flac,SPOOF,A15,LA_0011,-7.890262126922607,0.00037437142929265326,0.9996255846633859,SPOOF,32.090799999423325,cuda:0
16,LA_E_9117626,LA_E_9117626.flac,SPOOF,A18,LA_0031,-0.4558226466178894,0.6339262560948369,0.3660737428659479,BONAFIDE,27.416200000516255,cuda:0
17,LA_E_7890394,LA_E_7890394.flac,SPOOF,A12,LA_0030,-6.935271739959717,0.0009728586682169227,0.9990271267305862,SPOOF,24.103899999317946,cuda:0
18,LA_E_6914317,LA_E_6914317.flac,SPOOF,A07,LA_0018,-4.663601875305176,0.009432426717500293,0.9905676169563108,SPOOF,22.59290000074543,cuda:0
